,Mean Absolute Error
theta,0.012221303092783204
sigma,0.014240618556700885
dic,4.354402061855641
ph,0.0072682680412374245
alk,3.258865979381442
phos,0.02722350515463918
nit,0.30134948453608235
sil,0.8069909278350511
doc,4.253863505154637
