,crn,stn,cast,press,theta,sigma,temp,csal,coxy,dic,ph,alk,phos,nit,sil,doc
8767,44.0,2.0,5.0,130.4,22.6826,24.123,22.709,35.1289,212.9,1978.8,8.089,2306.0,0.04,0.04,1.21,74.8
9002,45.0,2.0,5.0,527.3,6.7852,26.712,6.8344,34.0651,106.3,2218.1,7.509,2280.0,2.24,30.55,52.11,43.88
9005,45.0,2.0,5.0,801.3,4.4885,27.207,4.5511,34.3372,30.2,2329.3,7.352,2337.0,3.03,41.19,99.78,42.31
9015,45.0,2.0,6.0,45.4,22.8706,23.992,22.8798,35.028,210.6,1975.0,8.087,2301.0,0.06,0.01,1.19,78.42
9017,45.0,2.0,6.0,74.3,22.4827,24.143,22.4976,35.0803,207.1,1984.8,8.073,2304.0,0.07,0.18,1.3,72.46
9024,45.0,2.0,6.0,151.5,18.838,25.081,18.8649,35.0246,190.3,2039.6,7.977,2299.0,0.25,2.72,2.93,60.55
9282,46.0,2.0,3.0,26.0,23.4715,23.851,23.4769,35.0721,214.3,1976.7,8.09,2301.0,0.05,0.02,1.28,89.45
9286,46.0,2.0,3.0,75.5,22.6153,24.123,22.6305,35.1043,215.2,1982.4,8.088,2309.0,0.05,0.01,1.23,85.64
9291,46.0,2.0,3.0,125.0,21.7863,24.39,21.8109,35.1478,208.3,1997.8,8.058,2316.0,0.1,0.14,1.32,69.04
9293,46.0,2.0,3.0,150.4,21.1146,24.629,21.1436,35.2182,209.0,2005.6,8.051,2312.0,0.09,0.46,1.47,71.09
9297,46.0,2.0,3.0,196.2,19.875,24.911,19.9112,35.1523,200.5,2026.7,8.009,2301.0,0.17,1.5,2.05,60.2
9687,47.0,2.0,8.0,798.9,4.6197,27.203,4.6829,34.3499,27.7,2335.3,7.338,2343.0,3.03,41.01,97.24,46.02
9689,47.0,2.0,8.0,1034.3,3.8692,27.399,3.9473,34.4967,41.7,2347.3,7.383,2374.0,3.01,41.09,111.37,43.77
9705,47.0,2.0,9.0,150.1,21.5267,24.474,21.556,35.1631,201.3,2008.4,8.046,2309.0,0.11,0.6,1.73,74.7
10363,50.0,2.0,6.0,7.1,25.9629,23.167,25.9645,35.1616,201.4,1970.0,8.114,2312.0,0.05,0.01,1.11,94.33
10364,50.0,2.0,6.0,17.2,25.9695,23.166,25.9733,35.1631,201.3,1970.4,8.115,2314.0,0.04,0.01,0.88,91.4
10368,50.0,2.0,6.0,48.4,25.9378,23.289,25.9486,35.3135,204.7,1980.6,8.11,2325.0,0.02,0.01,0.82,77.04
10369,50.0,2.0,6.0,58.5,25.805,23.364,25.8179,35.3577,208.3,1985.6,8.106,2326.0,0.01,0.01,0.85,78.99
10371,50.0,2.0,6.0,78.9,23.1553,24.085,23.1715,35.2594,230.5,1993.9,8.083,2316.0,0.01,0.01,1.18,73.04
10372,50.0,2.0,6.0,93.4,22.1772,24.343,22.1958,35.2303,226.1,1999.5,8.07,2317.0,0.01,0.03,1.24,71.18
10373,50.0,2.0,6.0,105.2,20.6625,24.724,20.6824,35.1826,217.2,2013.8,8.046,2316.0,0.04,0.03,1.42,72.46
10376,50.0,2.0,6.0,125.0,20.073,24.863,20.0961,35.158,215.8,2020.2,8.032,2321.0,0.05,0.11,1.52,69.23
10378,50.0,2.0,6.0,138.4,19.4429,25.003,19.468,35.1256,203.6,2032.2,8.01,2323.0,0.11,0.89,1.75,68.65
12166,55.0,2.0,3.0,223.9,18.4619,25.153,18.5011,34.9945,190.5,2039.2,7.969,2301.0,0.21,2.76,2.71,79.2
12168,55.0,2.0,3.0,247.9,17.4324,25.301,17.4741,34.8566,194.1,2044.6,7.955,2289.0,0.27,3.69,3.14,77.36
12170,55.0,2.0,3.0,301.2,14.996,25.66,15.0417,34.5938,206.9,2047.8,7.917,2271.0,0.43,6.01,5.7,62.43
12172,55.0,2.0,3.0,349.1,12.1531,26.04,12.1991,34.3306,219.5,2070.3,7.849,2256.0,0.72,10.55,11.1,42.99
12173,55.0,2.0,3.0,401.4,10.6407,26.217,10.6893,34.201,211.2,2090.3,7.798,2255.0,0.96,13.96,15.79,43.88
12177,55.0,2.0,3.0,699.7,4.9476,27.034,5.004,34.184,39.7,2305.9,7.349,2315.0,2.91,39.82,86.78,39.97
12178,55.0,2.0,3.0,802.6,4.5432,27.189,4.6063,34.3221,26.9,2329.5,7.341,2339.0,3.05,41.27,97.63,44.95
12179,55.0,2.0,3.0,902.1,4.3244,27.276,4.3945,34.4019,32.8,2334.2,7.364,2355.0,3.06,41.46,102.43,44.75
12180,55.0,2.0,3.0,1022.0,4.0359,27.354,4.1142,34.462,39.4,2338.6,7.372,2358.0,3.06,41.46,107.82,44.65
12194,55.0,2.0,4.0,115.3,22.1261,24.303,22.1491,35.1584,212.2,1995.2,8.061,2309.0,0.03,0.01,0.87,64.25
12196,55.0,2.0,4.0,134.4,21.3496,24.52,21.3757,35.1597,202.5,2012.3,8.033,2307.0,0.07,0.32,0.99,64.84
12200,55.0,2.0,4.0,175.0,19.4939,24.989,19.5257,35.1242,196.5,2037.3,7.995,2300.0,0.16,1.89,1.87,73.83
12202,55.0,2.0,4.0,201.3,18.1138,25.203,18.1486,34.9462,200.9,2040.9,7.963,2295.0,0.24,3.06,3.96,69.25
12528,56.0,2.0,4.0,249.2,14.7916,25.67,14.829,34.5498,195.0,2053.6,7.899,2268.0,0.51,6.87,5.77,53.54
12529,56.0,2.0,4.0,275.0,13.7853,25.816,13.8246,34.4621,198.7,2057.3,7.882,2265.0,0.6,8.38,7.5,54.03
12530,56.0,2.0,4.0,299.7,12.8899,25.937,12.9309,34.3829,201.0,2063.2,7.867,2264.0,0.66,9.59,9.35,49.44
12531,56.0,2.0,4.0,325.4,11.9055,26.062,11.9478,34.2989,199.3,2073.7,7.836,2259.0,0.81,11.68,11.55,48.66
12532,56.0,2.0,4.0,350.0,11.0065,26.176,11.0498,34.2322,197.1,2087.3,7.808,2258.0,0.97,13.72,14.52,47.2
12534,56.0,2.0,4.0,500.2,7.4719,26.612,7.521,34.0597,134.4,2182.2,7.588,2269.0,1.87,26.81,41.08,39.19
12538,56.0,2.0,4.0,800.6,4.8286,27.213,4.8933,34.3926,27.1,2325.0,7.358,2337.0,3.08,41.55,92.38,37.52
12540,56.0,2.0,4.0,1020.6,4.0474,27.375,4.1257,34.4899,39.2,2338.1,7.398,2359.0,3.08,41.79,106.77,41.62
12548,56.0,2.0,5.0,59.6,24.0486,23.637,24.0612,35.0129,193.4,1968.8,8.096,2296.0,0.03,0.01,0.86,77.35
12549,56.0,2.0,5.0,75.9,23.1899,23.939,23.2055,35.0791,197.8,1979.4,8.085,2296.0,0.03,0.02,0.89,76.07
12550,56.0,2.0,5.0,85.0,22.931,24.036,22.9483,35.1092,199.4,1982.6,8.08,2306.0,0.03,0.03,0.8,71.48
12551,56.0,2.0,5.0,94.4,22.3686,24.22,22.3875,35.1394,202.8,1993.7,8.067,2308.0,0.05,0.02,0.83,67.97
12552,56.0,2.0,5.0,105.5,21.647,24.456,21.6676,35.1843,198.0,2006.0,8.049,2316.0,0.08,0.1,0.88,66.69
12553,56.0,2.0,5.0,115.0,21.0417,24.605,21.0638,35.1602,190.3,2018.7,8.027,2309.0,0.12,0.76,1.17,62.5
12554,56.0,2.0,5.0,125.1,20.6314,24.72,20.655,35.1662,190.6,2024.1,8.015,2307.0,0.15,1.24,1.34,59.76
12556,56.0,2.0,5.0,150.4,19.8889,24.908,19.9167,35.1539,192.6,2032.5,8.002,2307.0,0.18,1.91,1.54,60.06
12558,56.0,2.0,5.0,175.6,18.6875,25.125,18.7185,35.0321,187.7,2038.4,7.978,2300.0,0.22,2.73,2.19,56.84
13183,58.0,2.0,1.0,1999.3,2.1114,27.653,2.2516,34.6131,84.8,2357.9,7.468,2410.0,2.87,40.04,149.85,37.46
13188,58.0,2.0,1.0,3000.1,1.3832,27.748,1.6022,34.663,120.1,2348.1,7.525,2423.0,2.67,38.05,161.6,37.37
13193,58.0,2.0,1.0,3998.7,1.1483,27.781,1.4661,34.6832,146.7,2322.0,7.583,2418.0,2.53,36.19,154.3,42.35
13271,58.0,2.0,5.0,250.3,16.7905,25.415,16.8315,34.8067,201.4,2039.7,7.954,2286.0,0.31,3.89,4.06,55.09
13272,58.0,2.0,5.0,274.8,15.8464,25.543,15.8896,34.6883,201.2,2043.5,7.907,2282.0,0.41,5.1,5.08,52.55
13274,58.0,2.0,5.0,325.0,13.2993,25.864,13.3447,34.3953,198.0,2063.9,7.865,2265.0,0.65,9.13,8.76,38.98
13275,58.0,2.0,5.0,349.7,11.9478,26.001,11.9933,34.2298,186.0,2083.9,7.808,2257.0,0.89,12.21,11.56,42.31
13276,58.0,2.0,5.0,400.9,9.5514,26.323,9.5967,34.0982,169.7,2128.2,7.703,2256.0,1.37,19.06,22.26,43.1
13277,58.0,2.0,5.0,500.6,7.1685,26.674,7.2165,34.0846,99.5,2214.9,7.512,2280.0,2.17,29.9,47.98,39.38
13278,58.0,2.0,5.0,601.3,5.8654,26.909,5.9176,34.1644,41.7,2282.2,7.374,2297.0,2.78,37.4,71.56,42.7
13279,58.0,2.0,5.0,700.5,5.3852,27.086,5.4442,34.314,22.7,2314.2,7.343,2322.0,3.03,40.29,84.06,37.23
13280,58.0,2.0,5.0,800.2,5.0626,27.194,5.1288,34.4022,23.5,2323.2,7.358,2336.0,3.09,41.28,90.55,39.77
13281,58.0,2.0,5.0,898.9,4.6048,27.282,4.6767,34.4473,32.0,2330.6,7.374,2348.0,3.1,41.74,98.61,38.69
13289,58.0,2.0,6.0,44.6,26.1871,22.924,26.1971,34.9326,187.4,1957.8,8.103,2286.0,0.04,0.01,1.01,91.61
13290,58.0,2.0,6.0,59.5,26.1207,22.958,26.134,34.9506,187.6,1959.4,8.101,2298.0,0.04,0.01,1.72,92.78
13292,58.0,2.0,6.0,84.2,23.4363,23.784,23.4537,34.9694,196.4,1973.7,8.089,2306.0,0.04,0.02,1.39,84.48
13293,58.0,2.0,6.0,94.7,22.7359,24.04,22.7551,35.0398,198.6,1985.1,8.081,2305.0,0.05,0.01,1.2,79.1
13294,58.0,2.0,6.0,104.7,22.5481,24.109,22.5692,35.0601,203.0,1988.1,8.071,2316.0,0.05,0.01,1.18,80.67
13296,58.0,2.0,6.0,124.7,21.8028,24.385,21.8273,35.1475,205.7,2006.7,8.045,2317.0,0.09,0.25,1.2,74.41
13297,58.0,2.0,6.0,134.8,21.4161,24.513,21.4423,35.1742,202.1,2018.3,8.039,2334.0,0.11,0.52,1.7,78.02
13302,58.0,2.0,6.0,200.8,19.2093,25.033,19.2455,35.0856,193.1,2038.7,7.986,2297.0,0.2,2.14,2.36,68.16
13650,59.0,2.0,4.0,224.2,17.5057,25.304,17.5435,34.8835,194.6,2046.6,7.955,2294.0,0.29,3.84,4.0,70.13
13652,59.0,2.0,4.0,250.7,16.1611,25.482,16.2011,34.703,193.3,2053.3,7.925,2281.0,0.37,5.14,5.0,68.87
13653,59.0,2.0,4.0,275.7,15.0879,25.622,15.1298,34.5705,193.4,2058.9,7.9,2276.0,0.46,6.58,6.2,59.01
13654,59.0,2.0,4.0,301.1,13.4085,25.83,13.4508,34.3799,193.6,2069.2,7.86,2266.0,0.65,9.03,8.39,57.84
13656,59.0,2.0,4.0,351.6,10.8534,26.14,10.8964,34.1507,187.4,2101.1,7.773,2253.0,1.04,14.81,15.45,56.48
13657,59.0,2.0,4.0,400.8,9.5903,26.321,9.6357,34.1044,176.4,2126.2,7.714,2258.0,1.32,18.89,22.07,51.99
13659,59.0,2.0,4.0,506.5,7.3542,26.647,7.4035,34.0829,109.7,2211.8,7.526,2277.0,2.08,29.34,44.84,43.59
13660,59.0,2.0,4.0,606.5,6.1053,26.926,6.1592,34.2233,38.6,2290.9,7.366,2308.0,2.79,37.76,69.66,43.29
13661,59.0,2.0,4.0,700.7,5.3734,27.095,5.4323,34.3233,32.5,2317.2,7.353,2326.0,2.99,40.55,83.62,42.11
13662,59.0,2.0,4.0,801.9,4.9841,27.207,5.0499,34.4074,29.6,2328.7,7.373,2346.0,3.05,41.54,93.45,40.55
13663,59.0,2.0,4.0,899.4,4.6103,27.285,4.6823,34.4524,33.2,2336.3,7.373,2351.0,3.09,42.16,97.19,41.03
13664,59.0,2.0,4.0,1018.2,4.1034,27.366,4.182,34.4853,42.4,2341.8,7.39,2370.0,3.07,42.14,108.05,39.18
13676,59.0,2.0,5.0,102.3,22.9366,24.091,22.9575,35.1835,216.8,1996.9,8.071,2321.0,0.01,0.02,1.72,82.32
13677,59.0,2.0,5.0,115.7,22.1887,24.294,22.2117,35.1699,212.4,2005.4,8.058,2316.0,0.04,0.14,2.21,79.49
13678,59.0,2.0,5.0,125.2,21.6659,24.481,21.6905,35.2234,211.2,2013.8,8.047,2327.0,0.03,0.22,1.77,78.9
13679,59.0,2.0,5.0,135.4,21.3335,24.581,21.3597,35.2347,211.7,2015.4,8.043,2318.0,0.03,0.29,1.78,72.84
13680,59.0,2.0,5.0,150.6,20.4775,24.787,20.5058,35.1996,206.2,2024.6,8.024,2316.0,0.08,0.96,2.18,73.63
13682,59.0,2.0,5.0,173.0,19.6016,24.97,19.6332,35.1363,197.3,2034.2,8.002,2312.0,0.13,1.66,2.53,70.11
13941,60.0,2.0,4.0,209.6,17.9256,25.209,17.9615,34.8934,186.5,2052.7,7.945,2294.0,0.35,3.96,4.09,65.44
13942,60.0,2.0,4.0,225.0,17.2892,25.305,17.3268,34.8179,189.6,2053.8,7.933,2287.0,0.39,4.54,4.65,64.95
13943,60.0,2.0,4.0,234.3,16.9377,25.354,16.9763,34.7724,185.7,2054.5,7.926,2288.0,0.42,4.91,6.2,62.91
13944,60.0,2.0,4.0,249.5,15.5711,25.509,15.6099,34.564,174.5,2073.0,7.878,2272.0,0.61,7.36,6.79,58.71
13945,60.0,2.0,4.0,274.3,13.5038,25.761,13.5424,34.3158,150.4,2094.7,7.796,2259.0,0.93,11.68,10.64,57.06
13946,60.0,2.0,4.0,299.3,12.4222,25.918,12.4621,34.2406,168.4,2104.0,7.768,2246.0,1.07,13.51,12.9,53.84
13947,60.0,2.0,4.0,325.0,11.4767,26.056,11.5179,34.1874,173.5,2109.9,7.749,2253.0,1.15,15.04,15.21,53.26
13948,60.0,2.0,4.0,350.0,10.3357,26.226,10.3772,34.1442,180.6,2120.4,7.721,2253.0,1.29,17.02,19.24,52.38
13949,60.0,2.0,4.0,400.2,9.0046,26.406,9.0482,34.0909,191.7,2136.3,7.693,2260.0,1.46,19.87,25.78,48.57
13950,60.0,2.0,4.0,495.3,7.2782,26.64,7.3261,34.0604,133.3,2198.8,7.547,2272.0,2.03,27.83,45.17,44.17
13951,60.0,2.0,4.0,600.1,5.572,26.913,5.6227,34.1235,64.5,2281.0,7.384,2297.0,2.73,36.74,74.11,43.29
13952,60.0,2.0,4.0,702.1,4.8719,27.096,4.9282,34.2505,38.5,2317.4,7.348,2320.0,2.97,39.92,91.13,40.55
13953,60.0,2.0,4.0,799.4,4.4439,27.24,4.5061,34.3721,38.4,2332.6,7.36,2340.0,3.04,40.88,101.81,38.69
13954,60.0,2.0,4.0,899.9,4.081,27.336,4.1493,34.4452,43.1,2339.7,7.383,2354.0,3.03,40.94,110.12,37.91
13955,60.0,2.0,4.0,1019.7,3.711,27.41,3.7866,34.4902,47.3,2347.2,7.395,2369.0,3.03,40.96,116.66,39.28
13961,60.0,2.0,5.0,34.1,23.536,23.254,23.543,34.3089,216.2,1940.4,8.089,2261.0,0.16,0.01,1.96,103.67
13963,60.0,2.0,5.0,59.8,23.561,23.53,23.5734,34.6821,216.0,1957.0,8.092,2286.0,0.11,0.01,1.8,98.47
13964,60.0,2.0,5.0,74.9,23.5421,23.633,23.5577,34.8115,214.9,1963.6,8.093,2291.0,0.1,0.02,1.81,96.6
13965,60.0,2.0,5.0,84.8,23.4572,23.705,23.4748,34.8733,215.0,1971.7,8.09,2292.0,0.09,0.01,1.78,95.13
13968,60.0,2.0,5.0,113.5,23.0662,23.921,23.0895,35.0088,209.1,1985.5,8.076,2303.0,0.1,0.05,1.88,90.73
13970,60.0,2.0,5.0,123.8,22.7362,24.037,22.7613,35.0362,211.4,1996.3,8.058,2305.0,0.12,0.27,2.01,83.5
13971,60.0,2.0,5.0,133.6,22.1566,24.19,22.1832,35.0217,203.0,2008.0,8.042,2311.0,0.14,0.26,2.18,79.4
13972,60.0,2.0,5.0,149.8,21.413,24.46,21.4421,35.1038,203.7,2015.5,8.035,2317.0,0.12,0.31,2.23,74.9
13976,60.0,2.0,5.0,199.5,18.4527,25.13,18.4876,34.961,190.6,2049.8,7.959,2295.0,0.31,3.25,3.67,65.92
14192,61.0,2.0,3.0,225.6,16.1302,25.434,16.1661,34.6316,180.7,2063.7,7.895,2284.0,0.51,6.08,5.2,64.47
14195,61.0,2.0,3.0,275.0,13.2687,25.803,13.307,34.3088,173.3,2085.8,7.813,2263.0,0.84,11.07,9.86,62.54
14196,61.0,2.0,3.0,299.0,12.2128,25.96,12.2522,34.2418,153.7,2112.9,7.744,2262.0,1.15,14.94,13.65,58.83
14198,61.0,2.0,3.0,349.7,10.0412,26.268,10.0819,34.1329,181.1,2113.5,7.744,2259.0,1.2,16.65,18.94,50.13
14200,61.0,2.0,3.0,501.4,6.636,26.733,6.6821,34.067,98.8,2224.1,7.493,2279.0,2.24,30.86,53.35,43.2
14201,61.0,2.0,3.0,601.3,5.5155,26.942,5.5661,34.1511,47.3,2285.1,7.383,2307.0,2.7,37.14,76.36,40.07
14202,61.0,2.0,3.0,697.3,4.8087,27.127,4.8643,34.2806,28.9,2318.9,7.347,2326.0,2.94,40.37,93.44,36.15
14203,61.0,2.0,3.0,799.5,4.391,27.239,4.4529,34.364,31.4,2332.3,7.354,2336.0,3.06,41.08,101.76,36.54
14204,61.0,2.0,3.0,901.3,4.0083,27.332,4.0762,34.4302,37.7,2340.8,7.372,2357.0,3.04,41.14,110.13,37.13
14205,61.0,2.0,3.0,1020.9,3.7188,27.398,3.7945,34.4764,45.8,2344.1,7.391,2368.0,3.03,41.09,116.1,36.64
14213,61.0,2.0,4.0,57.9,22.4558,24.108,22.4674,35.024,209.4,1996.8,8.061,2313.0,0.1,0.01,1.42,93.27
14214,61.0,2.0,4.0,78.0,22.0829,24.23,22.0983,35.0469,208.3,2004.5,8.052,2311.0,0.11,0.02,1.45,93.56
14215,61.0,2.0,4.0,85.2,21.9956,24.29,22.0125,35.0935,207.1,2006.2,8.051,2313.0,0.11,0.07,1.73,91.99
14216,61.0,2.0,4.0,96.0,21.6426,24.398,21.6614,35.1053,202.3,2012.5,8.04,2315.0,0.12,0.38,1.46,91.6
14218,61.0,2.0,4.0,111.9,20.9719,24.513,20.9933,35.0148,198.4,2022.9,8.018,2311.0,0.18,0.92,1.79,88.68
14219,61.0,2.0,4.0,123.6,20.4393,24.61,20.4625,34.9536,193.8,2033.7,7.994,2311.0,0.24,1.63,2.53,85.07
14220,61.0,2.0,4.0,134.2,20.4912,24.721,20.5164,35.1174,200.1,2027.7,8.012,2315.0,0.17,1.15,1.74,83.1
14222,61.0,2.0,4.0,149.2,20.4112,24.744,20.4392,35.1193,199.1,2029.3,8.011,2315.0,0.16,1.18,1.74,78.51
14224,61.0,2.0,4.0,174.9,18.9204,25.059,18.9515,35.0225,191.4,2043.7,7.972,2307.0,0.23,2.4,2.45,73.54
14226,61.0,2.0,4.0,200.0,18.2655,25.139,18.3002,34.9125,187.4,2050.2,7.95,2300.0,0.32,3.47,3.05,66.9
14810,63.0,2.0,4.0,223.8,17.9652,25.235,18.0036,34.94,194.8,2045.1,7.959,2296.0,0.25,2.99,3.12,59.87
14812,63.0,2.0,4.0,249.2,16.5302,25.428,16.5706,34.7434,192.0,2049.5,7.933,2287.0,0.37,4.5,4.46,53.33
14813,63.0,2.0,4.0,273.7,15.1229,25.612,15.1646,34.5679,192.7,2055.9,7.899,2276.0,0.49,6.35,6.01,52.46
14814,63.0,2.0,4.0,300.3,13.4924,25.819,13.5347,34.3882,191.6,2067.9,7.86,2268.0,0.64,8.8,8.16,50.22
14815,63.0,2.0,4.0,323.9,12.2952,25.985,12.3382,34.2947,195.8,2079.8,7.824,2260.0,0.83,11.59,11.12,51.79
14816,63.0,2.0,4.0,349.4,11.1636,26.121,11.2071,34.1974,187.9,2094.0,7.787,2254.0,1.0,13.79,14.23,50.33
14817,63.0,2.0,4.0,399.8,10.0114,26.295,10.058,34.1607,203.0,2102.8,7.773,2258.0,1.09,15.73,18.9,43.98
14818,63.0,2.0,4.0,499.3,7.3825,26.603,7.4312,34.0314,148.1,2177.0,7.603,2261.0,1.8,25.67,39.75,40.66
14820,63.0,2.0,4.0,600.1,5.7178,26.832,5.7691,34.0433,84.2,2254.1,7.432,2288.0,2.44,34.55,65.78,39.29
14821,63.0,2.0,4.0,700.4,4.9172,27.026,4.9735,34.1693,38.0,2309.0,7.338,2315.0,2.88,39.68,86.03,36.35
14822,63.0,2.0,4.0,800.5,4.5451,27.158,4.6079,34.283,25.1,2331.1,7.33,2334.0,2.99,41.25,97.35,35.67
14823,63.0,2.0,4.0,898.1,4.1811,27.275,4.2499,34.3811,28.9,2340.3,7.353,2350.0,3.01,41.39,105.15,34.2
14824,63.0,2.0,4.0,1020.7,3.7549,27.379,3.8309,34.4573,35.8,2344.8,7.377,2366.0,3.01,41.44,114.27,37.52
14826,63.0,2.0,5.0,5.0,23.4572,23.596,23.4583,34.7295,214.9,1960.5,8.086,2285.0,0.1,0.01,1.2,86.64
14830,63.0,2.0,5.0,24.7,23.4686,23.593,23.4737,34.7293,214.8,1961.1,8.086,2284.0,0.1,0.01,1.19,85.37
14833,63.0,2.0,5.0,59.5,22.9115,23.936,22.9236,34.9692,215.6,1974.0,8.086,2300.0,0.06,0.01,1.17,84.87
14835,63.0,2.0,5.0,84.3,22.5463,24.155,22.5633,35.1203,218.1,1980.4,8.086,2308.0,0.05,0.03,1.35,79.39
14839,63.0,2.0,5.0,124.3,21.8896,24.375,21.9141,35.1664,209.1,1996.9,8.065,2314.0,0.06,0.29,1.48,72.26
14841,63.0,2.0,5.0,149.8,21.4471,24.503,21.4763,35.1727,207.8,2004.1,8.054,2312.0,0.08,0.53,1.5,69.53
14843,63.0,2.0,5.0,174.7,20.3512,24.776,20.384,35.1404,201.1,2023.5,8.018,2304.0,0.14,1.23,2.03,65.43
14845,63.0,2.0,5.0,200.4,19.3475,24.992,19.3837,35.0789,195.2,2036.8,7.989,2306.0,0.21,2.08,2.51,64.16
15179,64.0,2.0,4.0,224.8,16.7234,25.391,16.7601,34.7547,216.9,2024.7,7.973,2284.0,0.25,2.92,3.85,61.93
15181,64.0,2.0,4.0,249.7,15.7452,25.543,15.7843,34.6586,199.9,2048.1,7.922,2283.0,0.45,5.79,5.42,60.08
15182,64.0,2.0,4.0,274.7,14.2201,25.755,14.2602,34.5009,199.4,2060.2,7.883,2265.0,0.6,8.0,7.53,55.69
15183,64.0,2.0,4.0,299.5,13.6132,25.842,13.6557,34.4493,203.7,2059.5,7.876,2262.0,0.64,8.69,8.48,50.51
15184,64.0,2.0,4.0,325.0,13.0369,25.921,13.0817,34.4003,206.4,2063.1,7.866,2263.0,0.69,9.5,9.5,51.1
15185,64.0,2.0,4.0,350.6,11.9528,26.064,11.9985,34.313,201.5,2075.4,7.833,2258.0,0.84,11.6,12.27,49.05
15186,64.0,2.0,4.0,400.8,10.7041,26.223,10.7528,34.2223,196.5,2097.0,7.789,2259.0,1.05,14.69,16.93,44.07
15187,64.0,2.0,4.0,498.9,7.6494,26.58,7.699,34.0509,141.2,2180.2,7.591,2269.0,1.85,25.74,37.73,40.07
15189,64.0,2.0,4.0,699.7,5.4412,27.038,5.5004,34.2612,43.3,2303.3,7.364,2315.0,2.86,38.71,79.52,39.09
15190,64.0,2.0,4.0,800.4,4.9869,27.198,5.0527,34.396,36.0,2322.3,7.366,2334.0,2.98,40.29,89.09,37.81
15191,64.0,2.0,4.0,900.3,4.5669,27.288,4.6387,34.45,38.8,2329.3,7.38,2348.0,3.01,40.8,98.22,40.55
15192,64.0,2.0,4.0,1020.2,4.2206,27.354,4.3002,34.4853,40.5,2336.6,7.387,2354.0,3.03,41.16,103.51,39.28
15201,64.0,2.0,5.0,74.9,23.128,23.909,23.1434,35.016,218.8,1977.4,8.085,2306.0,0.07,0.01,1.15,90.92
15202,64.0,2.0,5.0,85.0,22.8266,24.051,22.8439,35.0885,219.2,1980.8,8.084,2308.0,0.06,0.01,1.14,87.3
15204,64.0,2.0,5.0,104.7,22.1988,24.277,22.2197,35.151,216.7,1991.1,8.069,2316.0,0.07,0.01,1.46,84.08
15205,64.0,2.0,5.0,114.6,21.8503,24.387,21.8728,35.1669,220.5,1996.5,8.065,2317.0,0.06,0.01,1.2,82.22
15206,64.0,2.0,5.0,124.5,21.6072,24.481,21.6315,35.2025,218.6,1999.7,8.063,2322.0,0.07,0.01,1.26,77.97
15207,64.0,2.0,5.0,133.8,21.3307,24.56,21.3567,35.2062,213.6,2004.3,8.055,2321.0,0.08,0.1,1.27,73.63
15208,64.0,2.0,5.0,149.5,20.7174,24.732,20.7458,35.2126,206.8,2013.1,8.036,2318.0,0.12,0.76,1.48,68.35
15210,64.0,2.0,5.0,174.3,19.5407,24.98,19.5725,35.1278,207.1,2022.8,8.012,2311.0,0.15,1.32,2.01,65.82
15212,64.0,2.0,5.0,201.0,18.5975,25.137,18.6329,35.0184,206.7,2028.5,7.991,2308.0,0.2,2.01,2.61,64.46
15610,65.0,2.0,3.0,224.9,16.5778,25.421,16.6143,34.7484,200.7,2048.1,7.93,2285.0,0.37,4.53,4.69,58.8
15611,65.0,2.0,3.0,235.6,15.9749,25.501,16.0122,34.6725,199.5,2045.9,7.924,2280.0,0.4,4.92,5.2,57.63
15612,65.0,2.0,3.0,250.6,15.3867,25.577,15.4254,34.5984,198.2,2054.0,7.904,2278.0,0.49,6.02,5.92,56.76
15613,65.0,2.0,3.0,275.4,14.0902,25.741,14.1301,34.4474,191.0,2062.5,7.871,2267.0,0.62,7.96,7.53,54.42
15614,65.0,2.0,3.0,300.9,13.0244,25.892,13.0659,34.3592,205.6,2067.3,7.853,2260.0,0.69,9.41,9.33,51.79
15615,65.0,2.0,3.0,324.3,12.5077,25.961,12.5512,34.3169,210.7,2072.7,7.84,2258.0,0.76,10.39,10.54,50.61
15616,65.0,2.0,3.0,353.0,11.3943,26.092,11.4388,34.2138,197.6,2086.2,7.801,2257.0,0.94,12.74,13.37,48.86
15617,65.0,2.0,3.0,400.4,10.035,26.267,10.0817,34.1311,190.8,2110.6,7.744,2257.0,1.31,16.48,19.09,45.64
15618,65.0,2.0,3.0,500.4,7.0323,26.661,7.0798,34.0432,117.8,2202.5,7.539,2277.0,2.06,28.35,46.23,43.0
15620,65.0,2.0,3.0,600.2,5.6677,26.91,5.7189,34.1341,53.9,2273.9,7.398,2302.0,2.65,35.95,71.03,42.02
15621,65.0,2.0,3.0,700.2,5.0353,27.106,5.0924,34.2869,29.9,2313.8,7.352,2326.0,2.96,39.38,88.05,39.57
15622,65.0,2.0,3.0,797.6,4.6015,27.224,4.6646,34.3745,33.1,2327.6,7.358,2346.0,3.02,40.27,97.1,41.04
15624,65.0,2.0,3.0,899.8,4.2393,27.316,4.3088,34.4402,39.7,2333.0,7.378,2356.0,3.04,40.66,104.29,42.5
15625,65.0,2.0,3.0,1021.4,3.8361,27.385,3.9129,34.4748,44.7,2341.5,7.389,2372.0,3.01,40.55,112.43,36.34
15627,65.0,2.0,4.0,4.7,25.9253,23.007,25.9263,34.9346,207.2,1960.8,8.102,2297.0,0.06,0.01,1.43,88.0
15631,65.0,2.0,4.0,44.3,25.8212,23.094,25.831,35.0067,206.6,1963.8,8.1,2302.0,0.05,0.01,1.4,81.55
