,crn,stn,cast,press,theta,sigma,temp,csal,coxy,dic,ph,alk,phos,nit,sil,doc
22569,91.0,2.0,5.0,352.3,10.9112,26.155,10.9544,34.1833,202.2,2089.2,7.797,2253.0,0.95,13.47,14.32,50.62
22570,91.0,2.0,5.0,400.8,8.7804,26.427,8.8234,34.0737,176.3,2133.4,7.695,2259.0,1.39,20.0,25.81,44.37
22571,91.0,2.0,5.0,499.6,6.6794,26.704,6.7254,34.0373,114.9,2212.1,7.514,2273.0,2.1,30.12,50.24,45.93
22572,91.0,2.0,5.0,600.3,5.2345,26.958,5.2838,34.129,48.7,2288.7,7.361,2304.0,2.74,38.39,79.25,48.18
22573,91.0,2.0,5.0,701.6,4.8588,27.102,4.915,34.2567,25.9,2319.1,7.327,2324.0,2.91,40.86,90.42,47.1
22574,91.0,2.0,5.0,801.9,4.4664,27.248,4.529,34.3853,26.2,2332.8,7.347,2343.0,3.01,41.67,100.18,47.97
22575,91.0,2.0,5.0,901.8,4.1391,27.352,4.2081,34.4723,35.6,2337.6,7.376,2358.0,3.0,41.72,106.03,48.85
22576,91.0,2.0,5.0,1018.6,3.7907,27.417,3.8669,34.5088,42.9,2340.6,7.389,2368.0,2.98,41.8,112.85,46.36
22585,91.0,2.0,6.0,74.6,23.2551,23.981,23.2705,35.1599,209.8,1988.2,8.082,2310.0,0.09,0.01,2.22,94.72
22586,91.0,2.0,6.0,85.0,23.1508,24.019,23.1682,35.17,210.2,1989.1,8.082,2310.0,0.09,0.01,1.57,90.13
22587,91.0,2.0,6.0,94.5,22.6306,24.188,22.6497,35.1958,210.8,1996.8,8.072,2317.0,0.08,0.02,1.98,94.91
22588,91.0,2.0,6.0,105.1,22.4014,24.251,22.4225,35.193,209.1,2000.2,8.063,2315.0,0.09,0.08,1.44,93.55
22590,91.0,2.0,6.0,124.6,21.9296,24.406,21.9543,35.2222,207.1,2003.1,8.061,2313.0,0.09,0.2,2.16,90.81
22591,91.0,2.0,6.0,134.1,21.6066,24.495,21.6328,35.2208,208.8,2004.1,8.057,2314.0,0.09,0.25,1.87,85.73
22592,91.0,2.0,6.0,149.3,21.1529,24.599,21.1817,35.1928,208.2,2007.8,8.045,2304.0,0.08,0.26,1.59,85.54
22594,91.0,2.0,6.0,174.8,19.5357,24.876,19.5675,34.9906,197.3,2029.7,7.991,2298.0,0.21,1.81,2.57,85.85
22596,91.0,2.0,6.0,200.8,18.5123,25.059,18.5475,34.888,192.8,2040.4,7.963,2289.0,0.28,2.83,3.17,84.58
