"","crn","stn","cast","mdate","press","theta","sigma","temp","csal","coxy","bsal","boxy","dic","ph","alk","phos","nit","sil","dop","don","doc","tdp","tdn","pc","pn","pp","lln","llp","atp","n2o","psi","p15n","no2"
"23",37,2,4,60992,202.8,16.1665,25.462,16.1988,34.6789,175.9,34.6842,177.2,2064.3,7.891,2284,0.59,6.36,5.66,0.15,5.56,-9,0.74,11.92,-9,-9,-9,-9,619.3,-9,-9,-9,-9,-9
"24",38,2,1,70492,2999.9,1.3446,27.754,1.5628,34.6671,120.4,34.6666,122.2,2345.9,7.535,-9,2.63,37.89,159.81,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"25",38,2,1,70492,3997.3,1.1418,27.782,1.4593,34.6839,147,34.6839,147,2332,7.579,2422,2.52,36.27,149.71,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"26",38,2,5,70592,228.4,17.7955,25.288,17.8345,34.955,193.8,34.9551,198.1,2041.3,7.968,2303,0.28,3.13,3.62,0.17,5.08,-9,0.45,8.2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"27",38,2,5,70592,504,7.3888,26.675,7.4381,34.1246,102.7,34.1224,98.6,2219.6,7.512,2284,2.21,29.63,47.37,0.07,3.98,-9,2.28,33.61,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"28",38,2,5,70592,1026.3,3.8453,27.396,3.9226,34.4894,45.7,34.4912,44,2341.6,7.393,2383,3.02,41.64,113.04,0.02,2.76,-9,3.04,44.41,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"29",38,2,6,70592,8.6,25.4783,23.298,25.4802,35.1368,183.9,-9,-9,1976.8,8.098,2311,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1.3,16.6,-9,-9,-9,-9,0.5
"30",38,2,6,70592,28.5,25.1167,23.428,25.1229,35.1619,204.1,35.163,-9,1975,8.099,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"31",38,2,6,70592,48.5,23.7768,23.844,23.7869,35.1806,216.4,35.1874,220.9,1980.8,8.093,2313,0.04,0,1.89,0.26,6.16,-9,0.3,6.16,-9,-9,-9,0.8,5.9,-9,-9,-9,-9,-9
"32",38,2,6,70592,78.1,23.0539,24.092,23.0699,35.2288,220,35.2285,221.4,1982.9,8.093,2318,0.04,0.01,1.5,0.25,6.56,-9,0.29,6.57,-9,-9,-9,2.1,-9,-9,-9,-9,-9,-9
